,Вопрос,Ответ ведомства
0,"в небольшом здании, не принятом в жилой фонд, но при этом активно эксплуатируемом жильцами, переполнился септик. прошу системно решить вопрос.","на ваше обращение, поступившее в геоинформационный сервис «книга предложений» на портал «открытый регион» по вопросу переполнения септика многоквартирного жилого дома № 15 по ул. сутормина сообщаем, что по вышеуказанному адресу проведены контрольные мероприятия, в ходе которых источник утечки жидких бытовых отходов не установлен, указанный септик пуст.
так же сообщаем, что у собственников многоквартирного жилого № 15 по ул. сутормина отсутствуют договорные отношения на вывоз жидких – бытовых отходов, что может послужить причиной периодического переполнения септика.
на основании вышеизложенного предлагаем вам по вопросам организации вывоза жидких бытовых отходов обратиться в абонентский отдел мп «водоканал». так же вы можете обратиться в мп «водоканал» по вопросу технологического присоединения вашего жилого дома к централизованным сетям водоотведения."
1,"здравствуйте, по адресу, строителей 100, находиться бесхозный автомобиль, данный автомобиль не имеет госномера.
транспортное средство не используется и занимает место на стоянке.
просим вас убрать данный автомобиль.","на ваше обращение, по факту длительной стоянки  бесхозного автомобиля на прилегающей территории дома № 100 по ул. строителей сообщаю, что основанием для привлечения к административной ответственности является размещение разукомплектованного транспортного средства в соответствии с п. «а» ч. 1 ст. 13 /на территории города запрещается хранить и размещать разукомплектованные транспортные средства на тротуарах, обочинах, придомовых территориях многоквартирных домов, газонах, спортивных, детских площадках и проезжих частях. разукомплектованным считается транспортное средство, у которого отсутствуют основные узлы и агрегаты, кузовные детали, стекла и колеса, а также подверженное глубокой коррозии, либо в котором присутствуют видимые признаки непригодности транспортного средства по его целевому назначению/ правил благоустройства территории города ханты-мансийска, утвержденных решением думы города ханты-мансийска от 02.06.2014 года № 517-v рд.
вышеуказанное транспортное средство к категории разукомплектованных не относится. основания для привлечения к административной ответственности и эвакуации отсутствуют."
2,"на перекрестке улиц и.каролинского и университетская постоянно затруднено движение автотранспорта во всех направлениях, особенно в часы пик. основная масса транспорта вынужденно стоит на перекрестке, чтобы совершить разворот и проехать к своим домам. 
   на основании вышеизложенного, предлагаю рассмотреть возможность обустройства разворотов на разделительных полосах до перекрестка. по аналогии проспекта комсомольский. подобные ситуации происходят на перекрестках и.захарова и университетская, 30лет победы и и.захарова и т.д.
   реализация данного предложения очень сильно снизило бы загруженность, указанных перекрестков и улиц в целом, стало бы большим вкладом для создания комфорта жителей нашего района.","в соответствии с внесенным представлением огибдд умвд россии по г. сургуту, в целях исключения пересечения транспортных и пешеходных потоков в одной фазе светофорного цикла регулирования, на регулируемых перекрестках г. сургута проводятся работы по корректировке режима работы светофорных объектов в соответствии с требованиями гост р 52289-2019 «технические средства организации дорожного движения. правила применения дорожных знаков, разметки, светофоров, дорожных ограждений и направляющих устройств» с учетом интенсивности движения транспортных средств и пешеходов.
автодорога по ул. и.захарова и ул. университетская построена в соответствии с утвержденной проектно – сметной документацией, нормативными требованиями градостроительной деятельности и по обеспечению безопасности дорожного движения.
учитывая высокую интенсивность движения транспортных средств по ул. и.захарова и ул. университетская, устройство разворота для автомобильного транспорта через центральную разделительную полосу создаст предпосылки для совершения дтп, снизит безопасность и беспрепятственность движения транспортных средств, что приведет к образованию мест концентрации дтп."
3,"стройка закончилась, фасады облицевали. почему у нас можно такими гвоздями на березы забивать таблички? прошу убрать обьявление и обьяснить прорабу что он неправ. спасибо","на ваше обращение в геоинформационный сервис «книга предложений» на портале «открытый регион – югра» по факту размещения объявления в неустановленном месте по ул. гагарина, в районе дома № 151 сообщаю, что в результате проведения мероприятий установлено лицо, разместившее указанное объявление. с данным лицом проведена профилактическая работа по недопущению размещения объявлений в неустановленных для этих целей мест. объявление убрано в добровольном порядке."
4,"предложение, чтобы организовали школьные автобусы с района ауры до 29 школы. дети маленькие до школы далеко идти.","организация перевозки детей находится в ведении департамента образования.

перевозка обучающихся школьными автобусами осуществляется только до мбоу сош №№ 4, 15, 20, 22 имени г.ф. пономарева, 44 и обратно во исполнение решения думы города от 27.12.2013 № 454-v дг «о дополнительной мере социальной поддержки обучающихся муниципальных образовательных учреждений» по утвержденным расписаниям и маршрутам движения школьных автобусов.

в настоящее время перевозка пассажиров автобусами городских регулярных маршрутов от остановочного комплекса «аура» до ближайших остановочных пунктов от школы № 29 осуществляется по следующим маршрутам:

- маршруты № 24, № 30 от трц «аура» до остановочного пункта «пикс» или «ул. крылова» по ул. грибоедова и обратно;

- маршруты № 24, № 30, № 12, № 47, № 51 от остановочного пункта «38 мкр.» туда и обратно, маршрут № 26 в сторону ж/д вокзала;

- маршруты № 40, № 45 от остановочного пункта «утт-1» и обратно."
5,"с улицы  югорская  с левой стороны школы45, нет аллеи для пешеходов и школьники идут вдоль забора по грязи и снегу преодолевая сугробы. если выйти прямо попадаешь на дорогу, где нет даже знака переход . также эта сторона улицы не освещена, а дети порой идут в 20.00 из школы т.к. 2 смены, особенно  зимой. предлагаю сделать для детей аллею и освещение.","в настоящее время внутриквартальный проезд от ул. югорская до мбоу сош no45 отнесен к территориям общего пользования и признан безхозяйным. после проведения процедуры принятия данного проезда в муниципальную собственность и назначения ответственной эксплуатирующей организации, будет выполнен расчет затрат и планироваться бюджетные средства на устройство тротуаров и искусственного освещения."
6,"добрый день, уже многие годы ведутся разговоры о благоустройстве береговой линии реки сайма в городе мегион. предлагаю по берегам оборудовать беговую дорожку, шириной пять метров, с отдельными площадками для занятий баскетболом и тренажерные площадки. по периметру дистанция будет составлять около километра. находится вдали от проезжих дорог и в центре города.доступность для горожан очень удобная. зимой параллельно можно накатывать лыжню. дорожку можно оборудовать освещением и лавочками.уверен что данный проект будет пользоваться большой популярностью у горожан.
ответ ведомства:",сообщаем что в настоящее время управление архитектуры и градостроительства администрации города мегиона разрабатывает проект развития реки саймы (далее проект). ваши предложения по обустройству береговой линии реки будут учтены при разработке комплексного благоустройства 4 очереди проекта.
7,"добрый день! в соц.сетях активно обсуждали новые автобусные остановки, установленные зимой. в итоге, многие высказались о том, что администрацией города не был учтён тот факт, что остановки устанавливаются в местности приравненной к крайнему северу, а не в городе с субтропическим климатом. а сейчас на новые остановочные павильоны вешают электронные табло с информацией о маршрутах и времени их прибытия на остановку. считаю, что в данном случае, очевидна коррупционная деятельность. ведь нигде не сообщалось, что в городе собираются зимой менять остановки, да ещё и докупать дополнительно электронные табло. неужели так сложно выбрать остановочный павильон соответствующий климатическим условиям местности и уже со встроенными табло и т.п.???  конечно, ведь не вы стоите на этих остановках и ждёте автобус. вы ездите на работу на автомобилях не отечественного производителя, хотя, надо бы именно вам тестировать эти остановки в самых суровых погодных условиях.","в целях обеспечения комфортного проживания жителей города нижневартовска, а также улучшения архитектурного облика в городе нижневартовске в 2019 году были приобретены, и установлены 15 автобусных павильонов, стоимостью 5 млн. рублей. автобусные павильоны, приобретенные для установки на улично-дорожной сети города, предназначены для кратковременного ожидания пассажиров, посадки и высадке общественного транспорта. функциональные, технические, качественные, эксплуатационные характеристики их соответствуют требованиям, установленными строительными нормами и правилами и отраслевым стандартом. материалы, используемые для изготовления автобусных павильонов, являются антивандальными. павильоны имеют сертификаты соответствия и качества используемых материалов, а также предназначены для эксплуатации в северных условиях. новые павильоны устанавливаются взамен павильонов аналогичного типа.
в городе нижневартовске установлены 2 теплых остановочных павильона в районе трц «юграмол» за счет средств инвесторов. стоимость теплых остановочных павильонов варьируется от 1 до 3 млн. руб. в зависимости от комплектации.
на 2020 год установка теплых остановочных павильонов за счет средств городского бюджета не запланирована, но ведутся работы с потенциальными инвесторами по данному вопросу.
электронные табло, информирующие пассажиров о прибытии автобусов на остановочные павильоны в режиме реального времени, установлены за счет средств предприятий, занимающихся перевозками пассажиров и багажа по муниципальным маршрутам регулярных перевозок. бюджетные средства муниципалитета на закупку, установку и настройку табло не расходовались."
8,"по адресу энгельса, 3, со стороны улицы энгельса находится покосившейся столб освещения. неизвестно в каком он состоянии и потенциально может представлять опасность. предлагаю поправить.","на ваше обращение в геоинформационный сервис «книга предложений» на портале «открытый регион – югра» по вопросу ненадлежащего состояния торшера наружного освещения в районе многоквартирного жилого дома №3 по ул. энгельса, сообщаю, что работы по выправке данного торшера выполнены."
9,"здравствуйте! наш дом, салманова 5, находится на окраине города. к сожалению возникают проблемы с общественным транспортом, его катострафически не хватает! на ближайшую остановку, ходят две маршрутки 13к и 2 (и то не всегда заезжает). утром, когда все едут на работу, в маршрутках не хватает места. это огромная проблема для людей! прошу обратить внимание на нашу проблему! нам нужны дополнительные маршруты!","в ответ на обращение анх по вопросу открытия дополнительных городских маршрутов в микрорайоны города №25, 26 сообщаю следующее.

организация городских маршрутов к новым микрорайонам города ведется регулярно по мере строительства дорог, инфраструктуры и соответствия их требованиям правил организации пассажирских перевозок на автомобильном транспорте.

на сегодняшний день новые микрорайоны города обслуживают муниципальные маршруты: №2, 5, 5к, 10, 13к, 21, 24, 28, 32 и ведется работа по изменению схемы движения маршрута №5к с заездом на улицу ленина (остановка ""улица салманова, дом 3"") с 24 февраля текущего года.

информация о расписании движения автобусов по маршруту №5к будет размещена на официальном сайте органов местного самоуправления города нижневартовска www.n-vartovsk.ru, рубрика ""информация для граждан"", раздел ""транспорт и связь"". в режиме реального времени получить информацию о движении автобусов по маршруту (местоположение, расчетное время прибытия на остановку, схема движения) позволяет мобильное приложение ""умный транспорт"". приложение доступно для скачивания в «play market» и «app store»."
