,Наименование категории,Суть обращения
2,другое,"О необоснованной задолженности образовавшейся из-за пени. О несогласии с суммой задолженности пени (в октябре 2019 списаны, в ноябре 2019 начислены)."
3,другое,О порядке формирования ежемесячной стоимости (отчет за 2018г) за услуги НДС и управлению (1 квартал 2019г).
4,другое,О несогласии с запретом на размещение автоматов по продаже чистой питьевой воды на придомовых территориях МКД в г. Туле.
6,другое,"Благодарность сотруднику администрации г. Тулы по Зареченскому территориальному округу Горшковой Т.В. и сотруднику, работающему под её управлением."
7,другое,О несогласии с частой отменой льготных автобусов №114 от автостанции г. Щекино. О некорректном поведении кондуктора Тюриной. О курении водителя в салоне автобуса.
8,другое,О личном приеме. О предоставлении жилья по договору социального найма (сирота). О несогласии с предоставлением жилья по коммерческому найму.
9,другое,О несогласии с задолженностью по оплате за ЖКУ (электроэнергия). О перерасчете.
10,другое,"О признании заявителя инвалидом II группы по производственной травме, произошедшей 27.08.1984, в период с 01.03.1993 по 01.06.2003."
11,другое,"О несогласии с действиями Левинского Л.И., возведением третьего этажа в историческом здании по адресу: г. Тула, ул. Союзная, д. 11, лит. А, А1. О восстановлении первоначального вида исторического здания. Об отмене решения суда."
12,другое,"О проекте по ликвидации накопленного вреда окружающей среде на территории свалки бытовых отходов вблизи г. Белева. О несогласии с представленным отчетом. О несогласии с действиями директора ООО ""Агроводпроект"" Головченко Н.И., доцента ТулГУ Симанкина А.Ф. О приостановлении реализации проекта. О проведении дополнительной экспертизы результатов изысканий."
15,другое,"О несогласии с действиями сотрудника социальной защиты Борзовой Е.В., сотрудника администрации центрального района г. Тулы Морозовой С.А. Об оказании содействия. О возврате документов заявителю."
16,другое,"О перераспределении земельного участка и изменении красных линий квартала, ограниченного проездом Бархатным и ул. Новоселов в центральном районе г. Тулы."
21,другое,"О заработной плате. О неполучении письменного ответа по обращению от главного врача ГУЗ ТО ""ТЦМКС и НМП""."
23,другое,"О возможности переноса остановок на прежнее место перед СНТ-1, СНТ Химик-1 и СНТ Химик-2,СНТ-Анишино."
24,другое,"О неправомерной реконструкции памятника культурного наследия Тульской области по адресу: г. Тула, ул.Союзная, д.11, угрожающая жизни и здоровью людей."
25,другое,"Об оформлении прав на земельный участок в районе ул. Советская, д.55."
30,другое,Об ответах на обращения. О рассмотрении обращений. О несогласии с действиями должностных лиц.
32,другое,"О несогласии с задолженностью по оплате за ЖКУ (электроэнергия) по адресу: г. Тула, Ленинский район, д. Гостеевка. О перерасчете."
33,другое,"Об увековечивании памяти Героя Советского Союза Чуйкова В.И. в г. Туле. Об установке памятника, о присвоении имени Героя Советского Союза Чуйкова В.И. скверу, школе, Суворовскому училищу, одной из улиц в г. Туле."
35,другое,О личном приеме. О присвоении звания Героя Советского Союза отцу заявителя Жарову В.Н. (участник ВОВ).
37,другое,Об оказании помощи в записи 3-х месячного ребенка на УЗИ. О работе медсестры.
39,другое,"Об узаконивании и оформлении гаража и земельного участка под ним напротив д. 30 по ул. Приупская, г. Тула."
43,другое,"О несогласии с действиями УК ОАО фирма ""РЭМС"". О закреплении оконного отлива."
45,другое,"Об обустройстве хоккейной площадки (отсутствие ворот), о шлифовке и залитии хоккейной коробки по адресу: г. Тула, ул. Седова, д. 27."
46,другое,"О строительстве или ремонте участка дороги от Красного до д. Слободка, Алексинский район."
48,другое,Об ответах на обращения. О работе УК. О неудовлетворительной работе системы отопления в квартире родителей заявителя.
49,другое,Об организации пешеходной дорожки между остановками пассажирского автотранспорта. Об установке остановочных павильонов.
50,другое,О личном приеме. О ЖКХ. О коммуникациях и их обслуживании. О самоуправлении. О продовольственной безопасности. О снижении смертности и заболеваемости населения в Тульской области. О деятельности органов власти.
