iter	MultiClass
0	1.060038978
1	0.8857307706
2	0.8004992908
3	0.7514816603
4	0.7186122952
5	0.6960909104
6	0.6785556524
7	0.6609120939
8	0.650536593
9	0.6383219385
10	0.6291773657
11	0.6221779328
12	0.6153164295
13	0.6097472632
14	0.6055946717
15	0.5973792306
16	0.5914844677
17	0.5839966884
18	0.5783538549
19	0.5732372728
20	0.5680385045
21	0.5653832046
22	0.5619289559
23	0.5572067275
24	0.5542728532
25	0.5518349526
26	0.548185008
27	0.5402124324
28	0.5374721701
29	0.5342585673
30	0.5310469614
31	0.5280098704
32	0.5229300967
33	0.5196054146
34	0.5171859929
35	0.5148299322
36	0.5119230745
37	0.509011298
38	0.5061915308
39	0.5051267508
40	0.5031387526
41	0.5003731582
42	0.4980786944
43	0.4971505338
44	0.4960538811
45	0.4934018406
46	0.4910200019
47	0.4893268154
48	0.4883666811
49	0.4863524631
