iter	Passed	Remaining
0	181	8917
1	306	7354
2	429	6734
3	553	6366
4	676	6089
5	799	5866
6	926	5692
7	1050	5516
8	1176	5360
9	1302	5208
10	1425	5053
11	1547	4899
12	1670	4755
13	1795	4618
14	1919	4478
15	2042	4340
16	2165	4202
17	2289	4070
18	2413	3938
19	2536	3805
20	2660	3673
21	2784	3543
22	2907	3413
23	3030	3283
24	3153	3153
25	3276	3024
26	3399	2895
27	3523	2768
28	3647	2641
29	3770	2513
30	3893	2386
31	4017	2259
32	4141	2133
33	4265	2007
34	4396	1884
35	4522	1758
36	4652	1634
37	4780	1509
38	4907	1384
39	5031	1257
40	5154	1131
41	5278	1005
42	5402	879
43	5525	753
44	5650	627
45	5771	501
46	5895	376
47	6018	250
48	6141	125
49	6264	0
